votes	first	second	third
3864	MARK ANDREW	undervote	undervote
3309	BETSY HODGES	MARK ANDREW	DON SAMUELS
3031	BETSY HODGES	DON SAMUELS	MARK ANDREW
2502	MARK ANDREW	BETSY HODGES	DON SAMUELS
2212	BETSY HODGES	undervote	undervote
1831	BETSY HODGES	DON SAMUELS	JACKIE CHERRYHOMES
1479	BETSY HODGES	MARK ANDREW	JACKIE CHERRYHOMES
1445	BETSY HODGES	MARK ANDREW	undervote
1343	CAM WINTON	undervote	undervote
1305	MARK ANDREW	BETSY HODGES	JACKIE CHERRYHOMES
1232	DON SAMUELS	BETSY HODGES	MARK ANDREW
1207	MARK ANDREW	DON SAMUELS	BETSY HODGES
1171	MARK ANDREW	BETSY HODGES	undervote
963	BETSY HODGES	DON SAMUELS	undervote
815	BETSY HODGES	JACKIE CHERRYHOMES	MARK ANDREW
805	BETSY HODGES	JACKIE CHERRYHOMES	DON SAMUELS
717	BETSY HODGES	DON SAMUELS	CAM WINTON
691	BETSY HODGES	MARK ANDREW	BOB FINE
639	undervote	undervote	undervote
638	DON SAMUELS	undervote	undervote
638	DON SAMUELS	MARK ANDREW	BETSY HODGES
609	DON SAMUELS	BETSY HODGES	JACKIE CHERRYHOMES
607	BETSY HODGES	DON SAMUELS	BOB FINE
603	MARK ANDREW	BETSY HODGES	BOB FINE
596	BETSY HODGES	MARK ANDREW	CAM WINTON
577	MARK ANDREW	JACKIE CHERRYHOMES	DON SAMUELS
557	MARK ANDREW	JACKIE CHERRYHOMES	BETSY HODGES
553	MARK ANDREW	DON SAMUELS	JACKIE CHERRYHOMES
507	BETSY HODGES	DON SAMUELS	STEPHANIE WOODRUFF
442	MARK ANDREW	BETSY HODGES	CAM WINTON
402	JACKIE CHERRYHOMES	undervote	undervote
358	MARK ANDREW	DON SAMUELS	undervote
356	DON SAMUELS	BETSY HODGES	undervote
330	DON SAMUELS	JACKIE CHERRYHOMES	BETSY HODGES
324	BETSY HODGES	BOB FINE	MARK ANDREW
316	BETSY HODGES	CAM WINTON	DON SAMUELS
299	BETSY HODGES	MARK ANDREW	STEPHANIE WOODRUFF
286	BETSY HODGES	CAM WINTON	MARK ANDREW
281	BETSY HODGES	BOB FINE	DON SAMUELS
279	DON SAMUELS	BETSY HODGES	CAM WINTON
270	CAM WINTON	BETSY HODGES	DON SAMUELS
256	MARK ANDREW	JACKIE CHERRYHOMES	undervote
246	DON SAMUELS	BETSY HODGES	BOB FINE
242	JACKIE CHERRYHOMES	BETSY HODGES	MARK ANDREW
238	MARK ANDREW	BOB FINE	BETSY HODGES
238	BETSY HODGES	STEPHANIE WOODRUFF	DON SAMUELS
236	BETSY HODGES	JACKIE CHERRYHOMES	undervote
234	JACKIE CHERRYHOMES	BETSY HODGES	DON SAMUELS
229	JACKIE CHERRYHOMES	DON SAMUELS	BETSY HODGES
229	DON SAMUELS	MARK ANDREW	JACKIE CHERRYHOMES
222	JACKIE CHERRYHOMES	MARK ANDREW	BETSY HODGES
219	DON SAMUELS	JACKIE CHERRYHOMES	MARK ANDREW
213	MARK ANDREW	DON SAMUELS	BOB FINE
212	MARK ANDREW	BETSY HODGES	STEPHANIE WOODRUFF
202	OLE SAVIOR	undervote	undervote
202	CAM WINTON	DON SAMUELS	BETSY HODGES
201	BETSY HODGES	STEPHANIE WOODRUFF	MARK ANDREW
200	CAM WINTON	BETSY HODGES	MARK ANDREW
199	MARK ANDREW	CAM WINTON	BETSY HODGES
196	DAN COHEN	undervote	undervote
196	BETSY HODGES	BOB FINE	undervote
195	MARK V ANDERSON	undervote	undervote
173	MARK ANDREW	MARK ANDREW	MARK ANDREW
173	MARK ANDREW	DON SAMUELS	CAM WINTON
170	BETSY HODGES	CAM WINTON	undervote
168	CAM WINTON	MARK ANDREW	BETSY HODGES
167	JACKIE CHERRYHOMES	DON SAMUELS	MARK ANDREW
166	MARK ANDREW	JACKIE CHERRYHOMES	BOB FINE
164	BETSY HODGES	BETSY HODGES	BETSY HODGES
159	CAM WINTON	BETSY HODGES	undervote
158	BETSY HODGES	DON SAMUELS	DAN COHEN
157	BOB FINE	undervote	undervote
153	DON SAMUELS	BETSY HODGES	STEPHANIE WOODRUFF
150	JACKIE CHERRYHOMES	MARK ANDREW	DON SAMUELS
149	CAM WINTON	DAN COHEN	undervote
143	BETSY HODGES	JACKIE CHERRYHOMES	CAM WINTON
143	BETSY HODGES	DON SAMUELS	DOUG MANN
142	DON SAMUELS	MARK ANDREW	undervote
140	BOB FINE	BETSY HODGES	MARK ANDREW
140	BETSY HODGES	MARK ANDREW	DOUG MANN
136	MARK ANDREW	CAM WINTON	DON SAMUELS
135	BETSY HODGES	MARK ANDREW	CAPTAIN JACK SPARROW
133	MARK ANDREW	BOB FINE	DON SAMUELS
133	BETSY HODGES	MARK ANDREW	DAN COHEN
132	BETSY HODGES	DON SAMUELS	MARK V ANDERSON
130	MARK ANDREW	BOB FINE	undervote
128	BETSY HODGES	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF
124	BETSY HODGES	BOB FINE	JACKIE CHERRYHOMES
123	DON SAMUELS	CAM WINTON	BETSY HODGES
122	BETSY HODGES	JACKIE CHERRYHOMES	BOB FINE
121	CAM WINTON	DON SAMUELS	undervote
121	CAM WINTON	DAN COHEN	DON SAMUELS
119	CAM WINTON	DAN COHEN	BOB FINE
119	CAM WINTON	CAM WINTON	CAM WINTON
117	MARK ANDREW	JACKIE CHERRYHOMES	CAM WINTON
117	DON SAMUELS	DON SAMUELS	DON SAMUELS
115	CAM WINTON	OLE SAVIOR	undervote
114	BETSY HODGES	DON SAMUELS	CAPTAIN JACK SPARROW
114	BETSY HODGES	CAM WINTON	JACKIE CHERRYHOMES
113	MARK ANDREW	BETSY HODGES	DAN COHEN
108	DON SAMUELS	JACKIE CHERRYHOMES	undervote
108	"ABDUL M RAHAMAN ""THE ROCK"""	undervote	undervote
107	CAM WINTON	BETSY HODGES	BOB FINE
106	BETSY HODGES	MARK V ANDERSON	DON SAMUELS
106	BETSY HODGES	BOB FINE	CAM WINTON
103	BETSY HODGES	STEPHANIE WOODRUFF	undervote
103	BETSY HODGES	DON SAMUELS	JAMES EVERETT
102	MARK ANDREW	BETSY HODGES	CAPTAIN JACK SPARROW
102	CAM WINTON	MARK ANDREW	DON SAMUELS
99	MARK ANDREW	BOB FINE	JACKIE CHERRYHOMES
99	BETSY HODGES	CAM WINTON	BOB FINE
98	CAM WINTON	DON SAMUELS	BOB FINE
96	CAM WINTON	BOB FINE	undervote
96	CAM WINTON	BETSY HODGES	JACKIE CHERRYHOMES
96	BOB FINE	MARK ANDREW	BETSY HODGES
95	CAM WINTON	BOB FINE	DAN COHEN
95	CAM WINTON	BOB FINE	BETSY HODGES
95	BETSY HODGES	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES
94	BOB FINE	BETSY HODGES	DON SAMUELS
91	MARK ANDREW	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF
91	DON SAMUELS	MARK ANDREW	CAM WINTON
91	CAM WINTON	DON SAMUELS	DAN COHEN
90	MARK ANDREW	CAM WINTON	undervote
90	DON SAMUELS	BOB FINE	BETSY HODGES
90	DON SAMUELS	BETSY HODGES	DAN COHEN
90	CAM WINTON	MARK ANDREW	undervote
89	DON SAMUELS	MARK ANDREW	BOB FINE
88	MARK ANDREW	DON SAMUELS	DAN COHEN
87	MARK ANDREW	BETSY HODGES	DOUG MANN
87	BETSY HODGES	MARK ANDREW	JAMES EVERETT
85	CAM WINTON	BOB FINE	DON SAMUELS
84	MARK ANDREW	DON SAMUELS	STEPHANIE WOODRUFF
82	CAM WINTON	DON SAMUELS	MARK ANDREW
82	BETSY HODGES	MARK ANDREW	ALICIA K. BENNETT
80	DON SAMUELS	CAM WINTON	MARK ANDREW
80	DON SAMUELS	BOB FINE	MARK ANDREW
80	BETSY HODGES	BOB FINE	STEPHANIE WOODRUFF
79	BETSY HODGES	DAN COHEN	MARK ANDREW
77	CAM WINTON	DON SAMUELS	JACKIE CHERRYHOMES
75	MARK ANDREW	STEPHANIE WOODRUFF	BETSY HODGES
75	MARK ANDREW	CAM WINTON	BOB FINE
75	JACKIE CHERRYHOMES	DON SAMUELS	undervote
74	CAM WINTON	DAN COHEN	OLE SAVIOR
72	BOB FINE	DON SAMUELS	BETSY HODGES
71	DOUG MANN	JAYMIE KELLY	BETSY HODGES
71	BETSY HODGES	DAN COHEN	DON SAMUELS
71	BETSY HODGES	CAM WINTON	DAN COHEN
70	JACKIE CHERRYHOMES	MARK ANDREW	undervote
70	CAM WINTON	DAN COHEN	BETSY HODGES
70	BETSY HODGES	STEPHANIE WOODRUFF	BOB FINE
70	BETSY HODGES	DOUG MANN	MARK ANDREW
69	MARK ANDREW	CAM WINTON	JACKIE CHERRYHOMES
68	BETSY HODGES	STEPHANIE WOODRUFF	CAM WINTON
65	MARK V ANDERSON	BETSY HODGES	DON SAMUELS
65	JACKIE CHERRYHOMES	JACKIE CHERRYHOMES	JACKIE CHERRYHOMES
65	DON SAMUELS	BETSY HODGES	CAPTAIN JACK SPARROW
65	BOB FINE	BETSY HODGES	undervote
63	STEPHANIE WOODRUFF	undervote	undervote
63	JACKIE CHERRYHOMES	BETSY HODGES	undervote
63	DON SAMUELS	JACKIE CHERRYHOMES	CAM WINTON
63	DON SAMUELS	CAM WINTON	undervote
62	MARK ANDREW	DAN COHEN	BETSY HODGES
61	BETSY HODGES	MARK V ANDERSON	JACKIE CHERRYHOMES
61	"ABDUL M RAHAMAN ""THE ROCK"""	"ABDUL M RAHAMAN ""THE ROCK"""	"ABDUL M RAHAMAN ""THE ROCK"""
60	STEPHANIE WOODRUFF	BETSY HODGES	DON SAMUELS
59	STEPHANIE WOODRUFF	BETSY HODGES	MARK ANDREW
59	BETSY HODGES	CAM WINTON	STEPHANIE WOODRUFF
58	MARK ANDREW	JACKIE CHERRYHOMES	DAN COHEN
58	MARK ANDREW	BETSY HODGES	JAMES EVERETT
58	BETSY HODGES	MARK V ANDERSON	undervote
58	BETSY HODGES	DON SAMUELS	JAYMIE KELLY
57	DON SAMUELS	JACKIE CHERRYHOMES	BOB FINE
57	DON SAMUELS	BETSY HODGES	MARK V ANDERSON
57	BETSY HODGES	DOUG MANN	DON SAMUELS
57	BETSY HODGES	ALICIA K. BENNETT	STEPHANIE WOODRUFF
56	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK
56	CAM WINTON	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN
56	CAM WINTON	BOB FINE	MARK ANDREW
56	BETSY HODGES	DOUG MANN	undervote
55	CAM WINTON	BETSY HODGES	DAN COHEN
53	DOUG MANN	BETSY HODGES	MARK ANDREW
53	CAM WINTON	OLE SAVIOR	CHRISTOPHER CLARK
53	CAM WINTON	DAN COHEN	MARK V ANDERSON
52	CAM WINTON	DAN COHEN	CHRISTOPHER CLARK
51	DON SAMUELS	STEPHANIE WOODRUFF	BETSY HODGES
51	DAN COHEN	CAM WINTON	undervote
51	CAM WINTON	MARK ANDREW	JACKIE CHERRYHOMES
51	CAM WINTON	JACKIE CHERRYHOMES	BETSY HODGES
51	BETSY HODGES	DON SAMUELS	UWI
50	DON SAMUELS	DAN COHEN	BETSY HODGES
50	DON SAMUELS	CAM WINTON	JACKIE CHERRYHOMES
50	DAN COHEN	DON SAMUELS	BETSY HODGES
50	BETSY HODGES	DOUG MANN	JAMES EVERETT
49	STEPHANIE WOODRUFF	DON SAMUELS	BETSY HODGES
49	MARK ANDREW	STEPHANIE WOODRUFF	DON SAMUELS
49	BOB FINE	CAM WINTON	DON SAMUELS
47	JACKIE CHERRYHOMES	BETSY HODGES	BOB FINE
47	DOUG MANN	BETSY HODGES	DON SAMUELS
46	MARK V ANDERSON	BETSY HODGES	undervote
46	DON SAMUELS	CAM WINTON	BOB FINE
46	DON SAMUELS	BOB FINE	JACKIE CHERRYHOMES
46	CAM WINTON	JACKIE CHERRYHOMES	MARK ANDREW
46	BOB FINE	BETSY HODGES	CAM WINTON
46	BETSY HODGES	JACKIE CHERRYHOMES	ALICIA K. BENNETT
45	STEPHANIE WOODRUFF	BETSY HODGES	JACKIE CHERRYHOMES
45	MARK ANDREW	BOB FINE	CAM WINTON
45	JACKIE CHERRYHOMES	BETSY HODGES	STEPHANIE WOODRUFF
45	BETSY HODGES	MARK ANDREW	MIKE GOULD
44	MIKE GOULD	undervote	undervote
44	MARK ANDREW	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES
44	MARK ANDREW	BETSY HODGES	ALICIA K. BENNETT
44	DAN COHEN	CAM WINTON	DON SAMUELS
44	CAM WINTON	DAN COHEN	CAPTAIN JACK SPARROW
44	BOB FINE	MARK ANDREW	DON SAMUELS
44	BETSY HODGES	JACKIE CHERRYHOMES	DAN COHEN
43	MARK ANDREW	DAN COHEN	undervote
43	BOB FINE	CAM WINTON	BETSY HODGES
42	MARK ANDREW	DAN COHEN	DON SAMUELS
42	MARK ANDREW	CAM WINTON	DAN COHEN
42	JACKIE CHERRYHOMES	DON SAMUELS	BOB FINE
42	DAN COHEN	DAN COHEN	DAN COHEN
42	CAM WINTON	MARK ANDREW	BOB FINE
42	BETSY HODGES	STEPHANIE WOODRUFF	ALICIA K. BENNETT
42	BETSY HODGES	MARK ANDREW	NEAL BAXTER
42	ALICIA K. BENNETT	undervote	undervote
41	JACKIE CHERRYHOMES	MARK ANDREW	BOB FINE
41	CAM WINTON	OLE SAVIOR	DAN COHEN
40	DAN COHEN	CAM WINTON	BOB FINE
40	DAN COHEN	CAM WINTON	BETSY HODGES
40	DAN COHEN	BETSY HODGES	DON SAMUELS
40	BOB FINE	MARK ANDREW	undervote
40	BOB FINE	DON SAMUELS	MARK ANDREW
40	BETSY HODGES	JACKIE CHERRYHOMES	MARK V ANDERSON
39	DAN COHEN	BETSY HODGES	MARK ANDREW
39	BOB FINE	CAM WINTON	undervote
39	BETSY HODGES	MARK ANDREW	UWI
38	OLE SAVIOR	OLE SAVIOR	OLE SAVIOR
38	MARK ANDREW	DAN COHEN	JACKIE CHERRYHOMES
38	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	BETSY HODGES
38	DON SAMUELS	MARK ANDREW	DAN COHEN
38	DON SAMUELS	BETSY HODGES	DOUG MANN
38	DAN COHEN	MARK ANDREW	BETSY HODGES
38	CAM WINTON	DON SAMUELS	OLE SAVIOR
38	CAM WINTON	BOB FINE	JACKIE CHERRYHOMES
38	BOB FINE	MARK ANDREW	JACKIE CHERRYHOMES
38	BETSY HODGES	MARK V ANDERSON	MARK ANDREW
38	BETSY HODGES	DAN COHEN	CAM WINTON
37	MARK ANDREW	STEPHANIE WOODRUFF	undervote
37	MARK ANDREW	BETSY HODGES	GREGG A. IVERSON
37	CAM WINTON	OLE SAVIOR	NEAL BAXTER
37	CAM WINTON	JACKIE CHERRYHOMES	DON SAMUELS
37	BOB FINE	DON SAMUELS	CAM WINTON
37	BOB FINE	BETSY HODGES	JACKIE CHERRYHOMES
37	BETSY HODGES	DON SAMUELS	TROY BENJEGERDES
37	BETSY HODGES	DAN COHEN	JACKIE CHERRYHOMES
36	MARK ANDREW	BOB FINE	DAN COHEN
36	DAN COHEN	DON SAMUELS	CAM WINTON
36	DAN COHEN	BETSY HODGES	CAM WINTON
36	CAM WINTON	DAN COHEN	STEPHANIE WOODRUFF
36	CAM WINTON	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN
36	CAM WINTON	BETSY HODGES	STEPHANIE WOODRUFF
36	BETSY HODGES	CAPTAIN JACK SPARROW	undervote
35	MARK V ANDERSON	BETSY HODGES	JACKIE CHERRYHOMES
35	MARK ANDREW	BOB FINE	STEPHANIE WOODRUFF
35	JACKIE CHERRYHOMES	BETSY HODGES	CAM WINTON
35	CAM WINTON	CHRISTOPHER CLARK	OLE SAVIOR
35	BOB FINE	MARK ANDREW	CAM WINTON
35	BETSY HODGES	DON SAMUELS	TONY LANE
35	BETSY HODGES	DAN COHEN	BOB FINE
34	MARK ANDREW	BETSY HODGES	MIKE GOULD
34	JACKIE CHERRYHOMES	DON SAMUELS	CAM WINTON
34	DON SAMUELS	MARK ANDREW	STEPHANIE WOODRUFF
34	CAM WINTON	DAN COHEN	MARK ANDREW
34	BETSY HODGES	STEPHANIE WOODRUFF	DOUG MANN
33	MARK ANDREW	BETSY HODGES	JEFFREY ALAN WAGNER
33	JACKIE CHERRYHOMES	BETSY HODGES	ALICIA K. BENNETT
33	DOUG MANN	undervote	undervote
33	DON SAMUELS	JACKIE CHERRYHOMES	DAN COHEN
33	DON SAMUELS	CAM WINTON	DAN COHEN
33	DAN COHEN	CAM WINTON	OLE SAVIOR
33	BOB FINE	BOB FINE	BOB FINE
33	BETSY HODGES	CAM WINTON	CAPTAIN JACK SPARROW
32	STEPHANIE WOODRUFF	BETSY HODGES	undervote
32	MARK ANDREW	DON SAMUELS	CAPTAIN JACK SPARROW
32	DON SAMUELS	DAN COHEN	MARK ANDREW
32	DON SAMUELS	BOB FINE	CAM WINTON
32	CAM WINTON	UWI	UWI
32	CAM WINTON	STEPHANIE WOODRUFF	BETSY HODGES
32	CAM WINTON	MARK ANDREW	DAN COHEN
32	BOB FINE	CAM WINTON	DAN COHEN
32	BETSY HODGES	MARK ANDREW	TONY LANE
32	BETSY HODGES	JACKIE CHERRYHOMES	CAPTAIN JACK SPARROW
32	BETSY HODGES	DOUG MANN	JAYMIE KELLY
32	BETSY HODGES	BOB FINE	DOUG MANN
31	STEPHANIE WOODRUFF	MARK ANDREW	BETSY HODGES
31	MARK V ANDERSON	JACKIE CHERRYHOMES	BETSY HODGES
31	MARK ANDREW	JACKIE CHERRYHOMES	CAPTAIN JACK SPARROW
31	MARK ANDREW	DAN COHEN	CAM WINTON
31	JACKIE CHERRYHOMES	MARK ANDREW	CAM WINTON
31	JACKIE CHERRYHOMES	DON SAMUELS	DAN COHEN
31	DON SAMUELS	MARK V ANDERSON	BETSY HODGES
31	CAM WINTON	MARK V ANDERSON	undervote
31	BETSY HODGES	DAN COHEN	undervote
31	BETSY HODGES	BOB FINE	DAN COHEN
30	undervote	MARK ANDREW	undervote
30	MARK ANDREW	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER
30	JEFFREY ALAN WAGNER	undervote	undervote
30	JACKIE CHERRYHOMES	BOB FINE	MARK ANDREW
30	JACKIE CHERRYHOMES	BOB FINE	BETSY HODGES
30	DON SAMUELS	MARK ANDREW	ALICIA K. BENNETT
30	BETSY HODGES	MARK ANDREW	JEFFREY ALAN WAGNER
30	BETSY HODGES	DOUG MANN	TONY LANE
30	BETSY HODGES	DON SAMUELS	ALICIA K. BENNETT
29	OLE SAVIOR	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK
29	MARK ANDREW	DAN COHEN	BOB FINE
29	CAM WINTON	OLE SAVIOR	CHRISTOPHER ROBIN ZIMMERMAN
29	CAM WINTON	DAN COHEN	JACKIE CHERRYHOMES
29	CAM WINTON	BOB FINE	OLE SAVIOR
29	BETSY HODGES	MARK V ANDERSON	BOB FINE
29	BETSY HODGES	JACKIE CHERRYHOMES	DOUG MANN
28	MARK ANDREW	DOUG MANN	BETSY HODGES
28	JACKIE CHERRYHOMES	CAM WINTON	BETSY HODGES
28	JACKIE CHERRYHOMES	BOB FINE	DON SAMUELS
28	DON SAMUELS	STEPHANIE WOODRUFF	MARK ANDREW
28	DON SAMUELS	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF
28	BETSY HODGES	JAMES EVERETT	DOUG MANN
28	BETSY HODGES	BOB FINE	CAPTAIN JACK SPARROW
27	overvote	undervote	undervote
27	DOUG MANN	BETSY HODGES	undervote
27	CAM WINTON	STEPHANIE WOODRUFF	DON SAMUELS
27	CAM WINTON	MARK V ANDERSON	DAN COHEN
27	CAM WINTON	BOB FINE	STEPHANIE WOODRUFF
27	BOB FINE	CAM WINTON	MARK ANDREW
27	BETSY HODGES	JAYMIE KELLY	undervote
26	MARK ANDREW	MARK ANDREW	undervote
26	JAMES EVERETT	undervote	undervote
26	JACKIE CHERRYHOMES	MARK ANDREW	DAN COHEN
26	JACKIE CHERRYHOMES	CAM WINTON	DON SAMUELS
26	GREGG A. IVERSON	undervote	undervote
26	DOUG MANN	MARK ANDREW	BETSY HODGES
26	CAM WINTON	JACKIE CHERRYHOMES	undervote
26	BOB FINE	DAN COHEN	CAM WINTON
26	BETSY HODGES	DON SAMUELS	NEAL BAXTER
25	MARK V ANDERSON	MARK V ANDERSON	MARK V ANDERSON
25	MARK ANDREW	STEPHANIE WOODRUFF	BOB FINE
25	MARK ANDREW	BETSY HODGES	TONY LANE
25	MARK ANDREW	ALICIA K. BENNETT	MIKE GOULD
25	DON SAMUELS	DAN COHEN	CAM WINTON
25	CAM WINTON	STEPHANIE WOODRUFF	DAN COHEN
25	BOB FINE	DON SAMUELS	undervote
25	BETSY HODGES	MARK ANDREW	GREGG A. IVERSON
25	BETSY HODGES	JAMES EVERETT	undervote
25	BETSY HODGES	BOB FINE	JAMES EVERETT
24	STEPHANIE WOODRUFF	BETSY HODGES	BOB FINE
24	MARK V ANDERSON	DON SAMUELS	BETSY HODGES
24	MARK ANDREW	JACKIE CHERRYHOMES	ALICIA K. BENNETT
24	MARK ANDREW	CAM WINTON	STEPHANIE WOODRUFF
24	DOUG MANN	BETSY HODGES	JAYMIE KELLY
24	DON SAMUELS	BOB FINE	undervote
24	DON SAMUELS	BETSY HODGES	ALICIA K. BENNETT
24	DAN COHEN	MARK ANDREW	undervote
24	CAM WINTON	DON SAMUELS	STEPHANIE WOODRUFF
24	BOB FINE	BETSY HODGES	STEPHANIE WOODRUFF
24	BETSY HODGES	BOB FINE	GREGG A. IVERSON
24	BETSY HODGES	ALICIA K. BENNETT	JACKIE CHERRYHOMES
23	MARK ANDREW	BOB FINE	DOUG MANN
23	MARK ANDREW	ALICIA K. BENNETT	BETSY HODGES
23	JAMES EVERETT	DOUG MANN	BETSY HODGES
23	DON SAMUELS	DAN COHEN	JACKIE CHERRYHOMES
23	DON SAMUELS	BETSY HODGES	JAMES EVERETT
23	DAN COHEN	DON SAMUELS	BOB FINE
23	DAN COHEN	CAM WINTON	JACKIE CHERRYHOMES
23	DAN COHEN	BOB FINE	CAM WINTON
23	DAN COHEN	BETSY HODGES	JACKIE CHERRYHOMES
23	CAM WINTON	NEAL BAXTER	JOHN LESLIE HARTWIG
23	CAM WINTON	BETSY HODGES	CAPTAIN JACK SPARROW
23	BOB FINE	JACKIE CHERRYHOMES	MARK ANDREW
23	BOB FINE	DON SAMUELS	JACKIE CHERRYHOMES
23	BETSY HODGES	ALICIA K. BENNETT	MARK ANDREW
22	MARK ANDREW	JEFFREY ALAN WAGNER	ALICIA K. BENNETT
22	MARK ANDREW	CAPTAIN JACK SPARROW	undervote
22	JACKIE CHERRYHOMES	MARK ANDREW	STEPHANIE WOODRUFF
22	JACKIE CHERRYHOMES	MARK ANDREW	ALICIA K. BENNETT
22	DON SAMUELS	BOB FINE	STEPHANIE WOODRUFF
22	DAN COHEN	BOB FINE	BETSY HODGES
22	CAPTAIN JACK SPARROW	undervote	undervote
22	CAM WINTON	OLE SAVIOR	MARK V ANDERSON
22	BETSY HODGES	STEPHANIE WOODRUFF	DAN COHEN
22	BETSY HODGES	JAMES EVERETT	MARK ANDREW
22	BETSY HODGES	DON SAMUELS	GREGG A. IVERSON
22	BETSY HODGES	BOB FINE	MARK V ANDERSON
22	BETSY HODGES	"ABDUL M RAHAMAN ""THE ROCK"""	undervote
21	MARK V ANDERSON	BETSY HODGES	BOB FINE
21	MARK ANDREW	DON SAMUELS	DOUG MANN
21	MARK ANDREW	BETSY HODGES	UWI
21	JACKIE CHERRYHOMES	CAM WINTON	MARK ANDREW
21	CAM WINTON	STEPHANIE WOODRUFF	MARK ANDREW
21	CAM WINTON	JACKIE CHERRYHOMES	DAN COHEN
21	CAM WINTON	CHRISTOPHER CLARK	undervote
21	BETSY HODGES	MARK V ANDERSON	CAM WINTON
21	BETSY HODGES	JAMES EVERETT	DON SAMUELS
21	BETSY HODGES	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""
20	undervote	undervote	MARK ANDREW
20	MARK ANDREW	JACKIE CHERRYHOMES	MIKE GOULD
20	MARK ANDREW	JACKIE CHERRYHOMES	DOUG MANN
20	MARK ANDREW	BETSY HODGES	NEAL BAXTER
20	MARK ANDREW	ALICIA K. BENNETT	STEPHANIE WOODRUFF
20	DOUG MANN	JAMES EVERETT	BETSY HODGES
20	DON SAMUELS	STEPHANIE WOODRUFF	undervote
20	DAN COHEN	MARK ANDREW	DON SAMUELS
20	CAM WINTON	NEAL BAXTER	OLE SAVIOR
20	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	undervote
20	BOB FINE	JACKIE CHERRYHOMES	BETSY HODGES
20	BETSY HODGES	MARK ANDREW	TROY BENJEGERDES
20	BETSY HODGES	DOUG MANN	BOB FINE
20	BETSY HODGES	DON SAMUELS	KURTIS W. HANNA
19	MARK ANDREW	UWI	UWI
19	MARK ANDREW	MIKE GOULD	ALICIA K. BENNETT
19	MARK ANDREW	DOUG MANN	undervote
19	MARK ANDREW	DON SAMUELS	JAMES EVERETT
19	MARK ANDREW	BOB FINE	GREGG A. IVERSON
19	MARK ANDREW	BETSY HODGES	TROY BENJEGERDES
19	DON SAMUELS	STEPHANIE WOODRUFF	BOB FINE
19	DON SAMUELS	MARK V ANDERSON	JACKIE CHERRYHOMES
19	CAM WINTON	STEPHANIE WOODRUFF	BOB FINE
19	CAM WINTON	OLE SAVIOR	JOHN LESLIE HARTWIG
19	CAM WINTON	MARK V ANDERSON	CHRISTOPHER CLARK
19	CAM WINTON	CHRISTOPHER CLARK	MARK V ANDERSON
19	CAM WINTON	BOB FINE	MARK V ANDERSON
19	BOB FINE	MARK ANDREW	STEPHANIE WOODRUFF
19	BETSY HODGES	STEPHANIE WOODRUFF	TROY BENJEGERDES
19	BETSY HODGES	MARK ANDREW	"ABDUL M RAHAMAN ""THE ROCK"""
19	BETSY HODGES	DOUG MANN	STEPHANIE WOODRUFF
19	BETSY HODGES	DOUG MANN	JACKIE CHERRYHOMES
18	UWI	undervote	undervote
18	STEPHANIE WOODRUFF	BETSY HODGES	CAM WINTON
18	MARK ANDREW	DOUG MANN	JAMES EVERETT
18	MARK ANDREW	CAM WINTON	CAPTAIN JACK SPARROW
18	MARK ANDREW	BETSY HODGES	MARK V ANDERSON
18	MARK ANDREW	"ABDUL M RAHAMAN ""THE ROCK"""	undervote
18	JACKIE CHERRYHOMES	BETSY HODGES	DAN COHEN
18	DON SAMUELS	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES
18	DON SAMUELS	JACKIE CHERRYHOMES	ALICIA K. BENNETT
18	DAN COHEN	DON SAMUELS	JACKIE CHERRYHOMES
18	DAN COHEN	CAM WINTON	CAPTAIN JACK SPARROW
18	CAM WINTON	OLE SAVIOR	DON SAMUELS
18	CAM WINTON	DON SAMUELS	CAPTAIN JACK SPARROW
18	CAM WINTON	CAPTAIN JACK SPARROW	undervote
18	BETSY HODGES	MARK ANDREW	JAYMIE KELLY
18	BETSY HODGES	JAYMIE KELLY	DOUG MANN
18	BETSY HODGES	JACKIE CHERRYHOMES	JAMES EVERETT
17	UWI	UWI	UWI
17	STEPHANIE WOODRUFF	DON SAMUELS	MARK ANDREW
17	STEPHANIE WOODRUFF	CAM WINTON	BETSY HODGES
17	MERRILL ANDERSON	undervote	undervote
17	MARK V ANDERSON	JACKIE CHERRYHOMES	DON SAMUELS
17	MARK ANDREW	BOB FINE	ALICIA K. BENNETT
17	MARK ANDREW	BETSY HODGES	BETSY HODGES
17	JACKIE CHERRYHOMES	MARK ANDREW	MIKE GOULD
